發生或發現時間,發生或發現地點,發生或發現管轄機關
1131106  0709,臺南市南區金華路2段209號,AC3T1  臺南市政府警察局第三分局安順派出所
1131028  1410,臺南市新市區仁愛街291號,AC3T1  臺南市政府警察局第三分局安順派出所
1131106  1100,臺南市安南區北安路2段49號你下課選物販賣機店,AC3S1  臺南市政府警察局第三分局海南派出所
1131111  2127,臺南市安南區安富街335號,AC3S1  臺南市政府警察局第三分局海南派出所
1131111  0930,臺南市北區北區和緯路三段333號(全家便利商店-臺南和緯店),AC5M1  臺南市政府警察局第五分局和緯派出所
1131111  1142,臺南市北區文賢路1002號(市招:老闆回來了),AC5M1  臺南市政府警察局第五分局和緯派出所
1131110  2200,臺南市安定區海寮32-1號(萊爾富便利商店)旁空地,AC9T1  臺南市政府警察局善化分局港口派出所
1131111  0720,臺南市永康區大橋五街141號停放腳踏車的地方,ACBN1  臺南市政府警察局永康分局大橋派出所
1131026  1947,臺南市永康區大灣路951號外,ACBR1  臺南市政府警察局永康分局大灣派出所
1131028  0957,臺南市永康區大同街805號,ACBO1  臺南市政府警察局永康分局永康派出所
1131111  1630,臺南市永康區中華西街124號,ACBN1  臺南市政府警察局永康分局大橋派出所
1131111  1900,臺南市永康區中灣五街15號對面的鐵皮屋內,ACBR1  臺南市政府警察局永康分局大灣派出所
1131110  1700,臺南市永康區中山路與中山北路口,ACBO1  臺南市政府警察局永康分局永康派出所
1131110  0405,臺南市新化區建國街38號,ACCS1  臺南市政府警察局新化分局新化派出所
1131105  1229,臺南市新營區綠川北街10號斜對面停車格,ACDV1  臺南市政府警察局新營分局中山路派出所
1131111  0700,"臺南市白河區白河區草店里田地(23°24'10.9""N , 120°25'14.8""E)",ACFN2  臺南市政府警察局白河分局白河派出所
1131111  1805,臺南市後壁區後壁區菁寮里276號,ACFZ1  臺南市政府警察局白河分局後壁分駐所
1130310  2330,"臺南市麻豆區仁愛路12號4樓,401室",ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1130818  1832,臺南市麻豆區安業77-2號,ACGN1  臺南市政府警察局麻豆分局安業派出所
1130622  0500,臺南市麻豆區安業146號之2,ACGN1  臺南市政府警察局麻豆分局安業派出所
1131015  1100,臺南市麻豆區民族路1號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131111  2021,臺南市東區大同路2段215號,AC1M1  臺南市政府警察局第一分局文化派出所
1131102  0050,臺南市東區中華東路2段171號,AC1P1  臺南市政府警察局第一分局後甲派出所
1130327  0814,臺南市東區北門路1段310號,AC1R1  臺南市政府警察局第一分局東寧派出所
1130411  1240,臺南市東區東榮街23號,AC1R1  臺南市政府警察局第一分局東寧派出所
1130227  1305,臺南市東區圍下里東寧路0段15號1樓,AC1R1  臺南市政府警察局第一分局東寧派出所
1131112  1700,臺南市東區裕文路62號東區裕文路62號(復興國中316班),AC1P1  臺南市政府警察局第一分局後甲派出所
1131106  1111,臺南市中西區府前路一段195號,AC2P1  臺南市政府警察局第二分局南門派出所
1131025  1253,臺南市安南區海中街121巷32號,AC3R1  臺南市政府警察局第三分局安南派出所
1131111  2030,臺南市北區北區正覺街120號(正覺幼兒園),AC5P1  臺南市政府警察局第五分局公園派出所
1131112  0955,臺南市南區健康路一段257號臺南棒球場,AC6S1  臺南市政府警察局第六分局大林派出所
1131108  1015,臺南市七股區溪南里七股段460-6地號等,AC7V1  臺南市政府警察局佳里分局七股分駐所
1131111  1530,臺南市學甲區宅子港段地號165-1476、165-1,AC8W1  臺南市政府警察局學甲分局學甲派出所
1131111  1743,臺南市仁德區仁德里裕忠路539號,ACAW1  臺南市政府警察局歸仁分局仁德分駐所
1131103  1630,臺南市永康區龍安街360號,ACBQ1  臺南市政府警察局永康分局龍潭派出所
1131112  0547,臺南市永康區大橋三街218號(賴世雄美語),ACBN1  臺南市政府警察局永康分局大橋派出所
1130906  1330,臺南市新化區太平里民生路217巷7號,ACCN1  臺南市政府警察局新化分局??拔派出所
1131025  1453,臺南市新化區全興里竹子腳65號,ACCQ1  臺南市政府警察局新化分局唪口派出所
1131112  1000,臺南市新化區信義路233號,ACCS1  臺南市政府警察局新化分局新化派出所
1121015  1200,臺南市六甲區信義街251巷2弄6號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131110  2027,臺南市東區大學路18巷11號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131102  1620,臺南市中西區中正路356號,AC2O1  臺南市政府警察局第二分局中正派出所
1131106  0952,臺南市中西區民族路2段53號(統一超商台南民族門市),AC2R1  臺南市政府警察局第二分局博愛派出所
1130430  1543,臺南市中西區民族路2段57巷2號,AC2R1  臺南市政府警察局第二分局博愛派出所
1131107  1406,臺南市中西區中西區金華路三段69號(全聯福利中心-台南大勇店),AC2O1  臺南市政府警察局第二分局中正派出所
